,period,Short-description,temperature
0,ThisAfternoon,Sunny,High: 80 °F
1,Tonight,Mostly Clear,Low: 58 °F
2,Friday,Sunny,High: 76 °F
3,FridayNight,Patchy Fog,Low: 55 °F
4,Saturday,Patchy Fogthen Sunny,High: 76 °F
5,SaturdayNight,Patchy Fog,Low: 56 °F
6,Sunday,Patchy Fogthen Sunny,High: 81 °F
7,SundayNight,Mostly Clear,Low: 60 °F
8,MemorialDay,Sunny,High: 84 °F
